9am,10am,11am,12pm,1pm,2pm
250,0,0,0,0,73
241,0,0,0,8,72
149,0,0,0,0,30
352,0,0,0,0,26
295,0,0,0,0,60
349,0,0,0,0,60
262,0,0,0,0,34
300,0,0,0,0,40
619,192,145,101,91,102
494,114,0,0,28,102
522,151,0,0,0,0
225,87,0,0,5,55
422,169,8,0,0,17
373,140,0,0,0,23
420,225,91,76,62,79
389,167,0,0,20,72
364,166,37,0,2,35
415,115,0,0,0,32
535,233,73,0,0,65
455,202,29,0,17,6
550,195,62,14,0,60
222,148,0,0,3,61
477,258,69,23,0,44
546,199,87,75,50,
,,,,,
429,123,0,0,0,65
636,462,301,265,243,340
430,216,91,80,,
397,195,46,59,,
349,131,0,0,0,62
469,232,78,29,0,64
406,241,151,149,101,147
513,323,208,153,128,198
403,231,80,85,59,113
456,268,115,89,51,83
457,115,46,50,42,116
513,307,136,176,90,57
521,275,106,89,70,89
,261,84,14,24,18
479,341,92,84,50,129
530,354,169,87,53,18
334,174,35,34,5,75
419,241,80,65,43,96
394,204,0,20,26,89
,,,,,
466,312,136,92,63,124
427,265,80,53,59,
384,243,84,33,46,128
779,629,544,455,394,376
