9am,10am,11am,12pm,1pm,2pm
459,250,7,20,35,35
448,236,0,47,6,25
447,164,0,0,0,32
397,166,15,40,0,49
432,183,0,0,0,56
408,168,0,0,0,56
416,131,0,0,0,35
361,157,0,0,,25
365,248,97,38,59,91
419,175,0,0,0,55
422,196,0,30,4,34
236,0,0,0,39,44
297,29,0,0,14,39
269,0,0,0,23,47
267,14,0,9,31,41
318,107,0,8,0,75
274,57,0,0,14,15
374,115,0,0,0,20
341,136,35,35,19,70
305,67,0,28,52,59
318,89,11,19,0,33
209,0,0,0,23,41
66,43,40,47,43,44
,,16,,0,59
196,11,0,3,28,38
280,38,0,0,0,29
67,38,40,37,31,32
274,65,9,9,46,61
266,102,6,17,33,36
278,23,0,4,34,59
254,84,41,43,59,86
,,,,,
323,134,71,88,100,130
,,,,,
,,,,,
,,,,,
298,112,67,66,58,66
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
