9am,10am,11am,12pm,1pm,2pm
907,663,241,41,0,63
905,687,201,15,16,60
900,556,0,0,0,47
841,626,88,0,0,55
937,586,70,0,0,77
934,654,0,0,0,100
903,519,0,0,0,20
859,606,0,15,0,74
947,694,251,126,120,209
924,543,0,24,0,61
896,651,207,21,30,0
792,332,49,0,29,58
881,233,77,0,0,8
844,227,0,0,0,57
830,285,37,48,59,145
916,671,163,0,0,75
880,271,52,0,77,112
764,228,0,0,60,102
805,336,180,137,132,230
901,520,158,60,24,85
922,608,257,161,109,179
777,200,0,0,21,66
654,323,133,133,140,63
377,,,102,156,
837,284,122,28,35,140
876,541,104,0,0,104
850,549,338,238,218,269
912,679,411,252,252,287
854,455,220,224,237,290
901,568,314,250,253,315
858,571,421,360,382,400
,,,,,
942,659,441,417,393,412
,,,,,
,,,,,
,,,,,
915,563,405,357,367,357
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
