Day,9am,10am,11am,12pm,1pm,2pm
M,140,20,14,0,0,0
T,75,0,0,0,0,0
W,20,0,0,0,0,30
R,30,0,0,12,0,0
M,30,0,15,0,0,0
T,48,0,0,0,0,0
W,0,0,0,0,0,0
R,15,0,0,0,0,0
T,,,,,,
W,,,,,,
R,,,,,,
M,48,0,0,0,,52
T,29,0,0,,,
W,,,,,,
R,,,,,,
M,14,0,0,28,17,35
T,,,,,,
W,,,,,,
R,,,,,,
M,,,,,,
T,,,,,,
W,,,,,,
R,5,8,0,23,4,53
M,29,0,0,6,9,37
T,6,15,43,46,47,91
W,0,16,0,,15,66
R,0,0,9,47,66,90
M,68,49,39,35,45,107
T,110,72,69,86,56,65
W,44,0,0,0,0,15
R,0,0,0,0,22,32
W,,,,,,
R,,,,,,
M,,,,,,
T,,,,,,
W,,,,,,
R,,,,,,
M,22,0,0,50,24,21
T,,0,4,0,25,33
W,59,11,,33,45,129
R,0,0,5,47,67,72
M,,6,0,0,5,60
T,0,0,0,38,45,47
W,0,0,10,0,0,54
R,,511,265,119,89,63
M,42,0,28,17,17,27
T,0,0,0,34,22,22
W,61,0,36,0,0,25
R,184,109,103,101,90,91
