Day,9am,10am,11am,12pm,1pm,2pm
M,337,264,119,0,20,110
T,416,326,121,15,16,60
W,359,259,0,0,0,20
R,364,299,99,0,0,59
M,351,0,0,0,0,62
T,362,306,0,0,29,52
W,347,195,0,0,0,53
R,357,295,0,0,0,38
T,355,172,150,82,82,117
W,343,226,44,0,6,55
R,328,312,116,14,23,34
M,256,90,4,7,1,62
T,67,47,36,28,20,26
W,326,181,75,0,0,52
R,343,182,117,64,108,131
M,310,144,87,49,27,86
T,335,147,71,11,41,79
W,306,177,47,0,0,36
R,341,164,97,63,86,117
M,327,185,114,37,13,61
T,339,136,45,41,63,96
W,318,105,0,2,37,57
R,346,178,88,106,72,121
M,344,172,99,72,,
T,,,,,,
W,344,186,103,10,13,68
R,368,241,190,140,125,157
M,357,232,143,100,,
T,371,239,165,117,,
W,361,236,140,107,123,154
R,375,271,218,154,145,213
W,377,219,177,151,166,179
R,349,214,150,143,183,203
M,363,216,148,126,123,149
T,371,237,176,149,159,178
W,361,184,120,109,141,155
R,360,199,165,146,165,191
M,358,226,187,113,112,149
T,,296,202,154,141,175
W,363,248,,125,147,153
R,378,267,228,179,170,189
M,300,190,148,113,123,158
T,335,231,191,142,153,168
W,351,212,128,92,112,129
R,365,263,221,193,211,237
M,353,250,178,151,163,178
T,349,272,193,138,134,
W,361,245,205,158,165,188
R,400,344,318,280,267,285
